alpha,phi,h
0.580000,0.063670,0.663540
0.534286,0.383410,0.870100
0.933334,0.546833,0.250500
0.935714,0.209200,0.551750
0.750000,0.173737,0.817025
0.591429,0.007160,0.985440
0.900000,0.485710,0.524600
0.538095,0.355783,0.710833
0.616667,0.078767,0.695233
0.288571,0.230630,0.892800
0.591429,0.007160,0.985440
0.594643,0.275181,0.576550
0.671429,0.094950,0.728800
0.271429,0.137350,0.674000
0.538095,0.355783,0.710833
0.750000,0.173737,0.817025
0.538095,0.355783,0.710833
0.900000,0.485710,0.524600
0.371429,0.711000,0.653820
0.534286,0.383410,0.870100
0.538095,0.355783,0.710833
0.391837,0.490671,0.914814
0.534286,0.383410,0.870100
0.538095,0.355783,0.710833
0.290476,0.385250,0.799900
0.591429,0.007160,0.985440
0.082857,0.140890,0.959360
0.616667,0.078767,0.695233
0.611428,0.583020,0.552060
0.433333,0.050417,0.793383
0.371429,0.711000,0.653820
0.433333,0.050417,0.793383
0.271429,0.137350,0.674000
0.642857,0.515275,0.938700
0.457143,0.430737,0.943300
0.616667,0.078767,0.695233
0.433333,0.050417,0.793383
0.538095,0.355783,0.710833
0.642857,0.515275,0.938700
0.616667,0.078767,0.695233
0.919048,0.079917,0.121867
0.735714,0.388092,0.740850
0.538095,0.355783,0.710833
0.750000,0.173737,0.817025
0.591429,0.007160,0.985440
0.814286,0.039850,0.592000
0.485714,0.164450,0.625200
0.616667,0.078767,0.695233
0.594643,0.275181,0.576550
0.534286,0.383410,0.870100
0.738096,0.169100,0.658017
0.228571,0.185963,0.963550
0.534286,0.383410,0.870100
0.671429,0.094950,0.728800
0.271429,0.137350,0.674000
0.523810,0.361233,0.776233
0.671429,0.599208,0.606633
0.288571,0.230630,0.892800
0.814286,0.039850,0.592000
0.548572,0.129120,0.381280
0.222449,0.102850,0.625329
0.290476,0.385250,0.799900
0.750000,0.173737,0.817025
0.616667,0.078767,0.695233
0.817143,0.404740,0.834240
0.371429,0.711000,0.653820
0.814286,0.039850,0.592000
0.591429,0.007160,0.985440
0.288571,0.230630,0.892800
0.538095,0.355783,0.710833
0.750000,0.173737,0.817025
0.391837,0.490671,0.914814
0.534286,0.383410,0.870100
0.591429,0.007160,0.985440
0.750000,0.173737,0.817025
0.082857,0.140890,0.959360
0.814286,0.039850,0.592000
0.750000,0.173737,0.817025
0.750000,0.173737,0.817025
0.371429,0.711000,0.653820
0.538095,0.355783,0.710833
0.082857,0.140890,0.959360
0.611428,0.583020,0.552060
0.357143,0.483450,0.406500
0.485714,0.207275,0.721700
0.192857,0.212283,0.808667
0.222449,0.102850,0.625329
0.591429,0.007160,0.985440
0.580000,0.063670,0.663540
0.538095,0.355783,0.710833
0.538095,0.355783,0.710833
0.485714,0.164450,0.625200
0.900000,0.485710,0.524600
0.900000,0.485710,0.524600
0.534286,0.383410,0.870100
0.591429,0.007160,0.985440
0.545238,0.092717,0.903817
0.580000,0.063670,0.663540
0.534286,0.383410,0.870100
0.309524,0.099192,0.837500
0.538095,0.355783,0.710833
0.538095,0.355783,0.710833
0.896429,0.917075,0.370450
0.900000,0.485710,0.524600
0.750000,0.173737,0.817025
0.750000,0.173737,0.817025
0.616667,0.078767,0.695233
0.642857,0.515275,0.938700
0.480000,0.057770,0.762340
0.288571,0.230630,0.892800
0.538095,0.355783,0.710833
0.900000,0.485710,0.524600
0.814286,0.039850,0.592000
0.750000,0.173737,0.817025
0.591429,0.007160,0.985440
0.817143,0.404740,0.834240
0.433333,0.050417,0.793383
0.935714,0.209200,0.551750
0.900000,0.485710,0.524600
0.538095,0.355783,0.710833
0.591429,0.007160,0.985440
0.222449,0.102850,0.625329
0.750000,0.173737,0.817025
0.900000,0.485710,0.524600
0.616667,0.078767,0.695233
0.538095,0.355783,0.710833
0.433333,0.050417,0.793383
0.591429,0.007160,0.985440
0.814286,0.039850,0.592000
0.750000,0.173737,0.817025
0.538095,0.355783,0.710833
0.534286,0.383410,0.870100
0.821428,0.391087,0.650650
0.380000,0.851970,0.733820
0.814286,0.039850,0.592000
0.814286,0.039850,0.592000
0.900000,0.485710,0.524600
0.639286,0.537850,0.944950
0.200000,0.262830,0.545100
0.735714,0.388092,0.740850
0.611428,0.583020,0.552060
0.082857,0.140890,0.959360
0.628571,0.029600,0.750933
0.485714,0.207275,0.721700
0.759524,0.156358,0.765950
0.580000,0.063670,0.663540
0.580000,0.063670,0.663540
0.433333,0.050417,0.793383
0.588571,0.865240,0.821100
0.642857,0.515275,0.938700
0.538095,0.355783,0.710833
0.538095,0.355783,0.710833
0.538095,0.355783,0.710833
0.545238,0.092717,0.903817
0.328571,0.053600,0.515000
0.480000,0.057770,0.762340
0.395238,0.299500,0.294133
0.538095,0.355783,0.710833
0.342857,0.113750,0.672850
0.538095,0.355783,0.710833
0.538095,0.355783,0.710833
0.900000,0.054975,0.437600
0.410204,0.099150,0.611829
0.482857,0.147500,0.787820
0.407142,0.380517,0.541867
0.689286,0.096600,0.689950
0.866667,0.098683,0.754100
0.780000,0.145840,0.821520
0.695238,0.197050,0.594067
0.607143,0.278225,0.783750
0.625000,0.141313,0.888325
0.065306,0.222693,0.971429
0.695238,0.197050,0.594067
0.482857,0.147500,0.787820
0.689286,0.096600,0.689950
0.269048,0.327433,0.706683
0.848571,0.193400,0.763880
0.866667,0.098683,0.754100
0.835714,0.468937,0.604488
0.385714,0.075258,0.953100
0.132143,0.052038,0.804950
0.692857,0.515850,0.801450
0.887755,0.041586,0.942471
0.509524,0.045175,0.778133
0.509524,0.045175,0.778133
0.511428,0.033600,0.603140
0.371429,0.436950,0.833067
0.835714,0.468937,0.604488
0.471429,0.322567,0.802467
0.485714,0.264750,0.710150
0.485714,0.264750,0.710150
0.407143,0.291050,0.713300
0.695238,0.197050,0.594067
0.692857,0.515850,0.801450
0.557143,0.193650,0.804200
0.407142,0.380517,0.541867
0.214285,0.171675,0.602200
0.482857,0.147500,0.787820
0.482857,0.147500,0.787820
0.600000,0.069629,0.890000
0.132143,0.052038,0.804950
0.190476,0.139000,0.914367
0.523810,0.371567,0.880900
0.350000,0.231550,0.875600
0.600000,0.069629,0.890000
0.578571,0.471287,0.911850
0.866667,0.098683,0.754100
0.523810,0.371567,0.880900
